Agency,location,bedrooms,bathrooms,price
Absolute Estate Agents,"Mbaazi Ave,Valley Arcade, Valley Arcade, Dagoretti North",3,3,88000
Pam Golding Properties,"Westlands Area, Westlands",3,1,89000
Wellington Ndola,"School lane, School lane, Westlands Area, Westlands",2,1,89996
Coralinternational Ltd,"Kolobot Drive, Kilimani, Dagoretti North",1,1,90000
Coralinternational Ltd,"Suguta Road, Kileleshwa, Dagoretti North",1,1,90000
Swiveltrend Ltd,"Kirichwa Road, Kilimani, Dagoretti North",1,1,90000
Ace Realtors Limited,"21 04 27, 40 RA, Westlands Area, Westlands",3,3,90000
Ace Realtors Limited,"21 04 30, 13 RA, Brookside, Westlands",3,3,90000
Pam Golding Properties,"Kilimani, Dagoretti North",3,2,90000
Kenya Classic Homes,"Kilimani, Dagoretti North",3,2,90000
Kenya Classic Homes,"Kilimani, Dagoretti North",3,2,90000
Mambo Properties Enterprise,"Muthangari Drive, Westlands Area, Westlands",2,2,90000
Azizi Realtors,"54, Rhapta Road, Rhapta Road, Westlands",3,3,90000
Azizi Realtors,"Kilimani, Dagoretti North",2,2,90000
Realty Plus,"Lavington, Dagoretti North",3,2,90000
Capstone Properties,"Kyuna, Westlands",2,2,90000
Absolute Estate Agents,"Lavington, Dagoretti North",3,2,90000
Paradigm Homes,"Kilimani, Dagoretti North",3,2,90000
Dmus Realtors,"Brookside, Westlands",2,2,90000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,3,90000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",2,2,90000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,90000
City Homes Kenya Real Estate,"Rhapta road, Rhapta Road, Westlands",3,3,90000
City Homes Kenya Real Estate,"Brookside groove, Brookside, Westlands",2,2,90000
Yc Real Estate Limited,"Near Kenya High, Kileleshwa, Dagoretti North",2,2,90000
Nickville Shelters,"Kileleshwa, Dagoretti North",3,1,90000
Dayfield Agencies,"Parklands, Westlands",3,3,90000
Falcon Sight Properties,"Waiyaki Way, Westlands",2,2,90000
Splendour Real Estate,"Kiambu Road, Kiambu Road",2,2,90000
Hanspace Limited,"Lantana road, Westlands Area, Westlands",4,4,90000
Dunhill Consulting Limited,"Thigiri, Westlands",1,1,90000
Jusa Home Limited,"Waiyaki Way, Westlands",2,2,90000
Cfs Homes,"Westlands Area, Westlands",3,3,90000
Pc Properties Real Estate Agency,"Denis Pritt Rd, Kilimani, Dagoretti North",3,2,90000
Pc Properties Real Estate Agency,"Mbaazi Ave, Lavington, Dagoretti North",3,2,90000
Furnished Rentals,"Kilimani, Dagoretti North",2,2,90000
Pmm Properties,"Ole Dume Road, Lavington, Dagoretti North",3,2,90000
Trisums Investments Company Limited,"Riverside, Westlands",3,2,90000
Jakharris Africa Ltd,"Kilimani, Dagoretti North",3,3,90000
Jakharris Africa Ltd,"Ruaka, Kiambaa",3,2,90000
Lighthouse Homes Limited,"Riverside, Westlands",3,3,90000
Lighthouse Homes Limited,"Riverside, Westlands",3,3,90000
Splendor Holdings,"Lavington, Dagoretti North",3,3,90000
Coralinternational Ltd,"Westlands Pride, Waiyaki Way, Waiyaki Way, Westlands",3,2,90000
Njambi Warui,"Riara Lane, Kilimani, Dagoretti North",2,2,90000
Ace Realtors Limited,"21 04 26, 37 RA, Rhapta Road, Westlands",3,3,90000
Pam Golding Properties,"Kileleshwa, Dagoretti North",1,1,90000
Kenya Classic Homes,"Lavington, Dagoretti North",2,2,90000
Kenya Classic Homes,"Milimani, Milimani",3,3,90000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,90000
Prudential Green Ville,"lavington, lavington, Lavington, Dagoretti North",3,2,90000
Blueline Properties 1023,"9, Riverside Garden Close, Riverside, Westlands",2,2,90000
City Homes Kenya Real Estate,"Garden Drive, Runda, Westlands",1,1,90000
Absolute Estate Agents,"Kabarnet Road Kilimani, Kilimani, Dagoretti North",3,3,90000
Buy Rent Shelters,"Kilimani, Dagoretti North",3,3,90000
Wealthlink Realtors Ltd,"Lavington, Dagoretti North",3,2,90000
Olympia Gold Real Estate,"Lavington, Kingara Road, Lavington, Dagoretti North",2,2,90000
Civic Capital,"Elgeyo Marakwet Road, Kilimani, Dagoretti North",3,3,90000
Lighthouse Homes Limited,"BROOKSIDE DRIVE, Westlands Area, Westlands",3,3,90000
Pmm Properties,"Kilimani, Dagoretti North",3,2,90000
J M Mccarthy Properties Ltd,"Upper Hill, Langata",3,3,90000
Splendor Holdings,"Kileleshwa, Dagoretti North",3,3,90000
Exella Realty,"Kilimani, Dagoretti North",3,3,90000
Canaan Properties,"Ngong Road, Ngong Road",3,3,90000
Tysons Limited,"Kilimani, Dagoretti North",3,2,90000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,90000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,2,90000
Capstone Properties,"Rhapta Road, Westlands",2,2,90000
Ring Kenya Ltd,"Ngong Road, Ngong Road",3,3,90000
City Homes Kenya Real Estate,"Riverside Drive, Riverside, Westlands",1,1,90000
Blueline Properties 1023,"Crimson Court Along Riverside, Riverside, Westlands",1,1,90000
Blueline Properties 1023,"Riverside, Westlands",1,1,90000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,2,90000
Cloud Real Estate,"Kilimani, Dagoretti North",2,2,90000
Pam Golding Properties,"Westlands Area, Westlands",3,3,90000
Kenya Classic Homes,"Lavington, Dagoretti North",3,3,90000
Absolute Estate Agents,"Gitanga road, Lavington, Dagoretti North",3,1,90000
Absolute Estate Agents,"1, Muringa Rd., Kilimani, Dagoretti North",3,3,90000
Absolute Estate Agents,"Kileleshwa, Kileleshwa, Dagoretti North",3,3,90000
Absolute Estate Agents,"Kileleshwa, Dagoretti North",3,3,90000
Absolute Estate Agents,"Argwings kodhek road, Kilimani, Dagoretti North",2,2,90000
Vaal Real Estate,"Mandera Road, Kileleshwa, Dagoretti North",2,2,90000
Malazo Realtors,"Woodlands Rd, Kilimani, Dagoretti North",2,2,90000
Paradigm Homes,"Kilimani, Dagoretti North",3,2,90000
Paradigm Homes,"Kileleshwa, Dagoretti North",2,1,90000
Buy Rent Shelters,"Dennis Pritt, Kilimani, Dagoretti North",3,3,90000
Buy Rent Shelters,"Dennis pritt, State House, Dagoretti North",3,3,90000
Buy Rent Shelters,"Dennis Pritt, Hurlingham, Dagoretti North",3,3,90000
Buy Rent Shelters,"Dennis Pritt, Kilimani, Dagoretti North",3,3,90000
Symonns Realty,"City Park Drive, Off Limuru Road, Parklands, Westlands",3,2,90000
Hilltrust Consult,"Westlands Area, Westlands",1,1,90000
Castles Cabins Realtors,"Lavington, Dagoretti North",4,4,90000
Westside Real Estate,"Kilimani, Dagoretti North",2,2,90000
Naftal Properties,"Lavington, Dagoretti North",1,1,90000
Apogee Realty Homes,"Riverside Drive, Riverside, Westlands",1,1,90000
Allione Real Estate,"State House, Dagoretti North",2,2,90000
Fit Property,"Brookside Drive Westlands, Nairobi, Brookside, Westlands",3,3,90000
Olympia Gold Real Estate,"Riara Road, Dagoretti North",3,3,90000
Casapiu Holdings Limited,"Rhapta Road, Westlands",3,3,90000
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North",3,3,90000
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North",4,4,90000
Phillavilla,"Kileleshwa, Dagoretti North",3,3,90000
Pmm Properties,"Riara road, Riara Road, Dagoretti North",4,4,90000
J M Mccarthy Properties Ltd,"Kileleshwa, Dagoretti North",2,2,90000
Ace Realtors Limited,"21 05 06, 38 RA, Westlands Area, Westlands",3,3,95000
Pam Golding Properties,"Westlands Area, Westlands",2,2,95000
Kenya Classic Homes,"Kilimani, Dagoretti North",3,3,95000
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands",1,1,95000
Mambo Properties Enterprise,"Chania Rd, Kilimani, Dagoretti North",2,2,95000
Regent Management Ltd,"Kilimani, Dagoretti North",4,4,95000
Capstone Properties,"Rhapta Road, Westlands",2,1,95000
Absolute Estate Agents,"Kilimani, Dagoretti North",2,1,95000
Absolute Estate Agents,"Lavington, Dagoretti North",3,3,95000
Paradigm Homes,"Valley Arcade, Dagoretti North",3,2,95000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,95000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,3,95000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,3,95000
Dakima Home International,"Raphta Rd, Rhapta Road, Westlands",2,2,95000
Furnished Rentals,"Kileleshwa, Dagoretti North",2,2,95000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,95000
Coralinternational Ltd,"Off Riara Road, Lavington, Dagoretti North",3,2,95000
Coralinternational Ltd,"Mandera Road, Kileleshwa, Dagoretti North",2,2,95000
Hassconsult,"Waiyaki Way, Westlands Area, Westlands",2,2,95000
Hassconsult,"Riara Road, Dagoretti North",2,2,95000
Mambo Properties Enterprise,"Rhapta Rd, Rhapta Road, Westlands",1,1,95000
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands",1,1,95000
Regent Management Ltd,"Mugoiri Road, Kileleshwa, Dagoretti North",3,3,95000
Pam Golding Properties,"Kilimani, Dagoretti North",3,2,95000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,95000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,2,95000
Royani Properties Limited,"Lymack Suites, Kiambu Road, Kiambu Road",1,1,95000
Royani Properties Limited,"Suguta Road, Kileleshwa, Dagoretti North",3,3,95000
Buy Rent Shelters,"Westlands Area, Westlands",1,1,95000
Castles Cabins Realtors,"Kileleshwa, Dagoretti North",3,3,95000
A List Real Estate,"Chiromo rd, Westlands Area, Westlands",3,2,95000
Tulua Meraki,"Mbaazi Avenue, Lavington, Dagoretti North",2,2,95000
Tulua Meraki,"Riara Road, Dagoretti North",2,2,95000
Unique Casles Management Ltd,"Waiyaki Way, Westlands",3,2,95000
Pmm Properties,"Lavington, Dagoretti North",3,3,95000
Opus Properties,"Suguta Road, Kileleshwa, Dagoretti North",3,3,95000
Swiveltrend Ltd,"Kileleshwa, Dagoretti North",3,3,95000
Ace Realtors Limited,"21 05 03, 08 FA, Rhapta Road, Westlands",1,1,95000
Ace Realtors Limited,"21 05 05, 17 RA, Westlands Area, Westlands",2,2,95000
Stop Properties Real Estate,"Waiyaki Way, Westlands",4,3,95000
Canaan Properties,"Kilimani, Dagoretti North",3,3,95000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,3,95000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,3,95000
Gimco Limited,"Kilimani, Dagoretti North",4,3,95000
Absolute Estate Agents,"Riara Massions, Maziwa, Nairobi, Nairobi County, KE, Lavington, Dagoretti North",3,3,95000
Paradigm Homes,"Valley Arcade, Dagoretti North",3,3,95000
Gerryville Homes,"Kileleshwa, Dagoretti North",3,3,95000
Kingslink Ventures,"MOMBASA ROAD, Mombasa Road, Mombasa Road",2,2,95000
J M Mccarthy Properties Ltd,"Lavington, Dagoretti North",3,3,95000
Crystal Valuers Ltd,"Mararo road, Valley arcade, Lavington, Dagoretti North",4,2,96000
Royani Properties Limited,"Chelezo Apartments, Kilimani, Dagoretti North",3,3,98000
Buy Rent Shelters,"Kidaruma, Kilimani, Dagoretti North",3,3,98000
Falcon Sight Properties,"Off Raphta Road, Rhapta Road, Westlands",4,4,98000
Nguso Realtors,"Kilimani, Dagoretti North",3,3,98000
Buy Rent Shelters,"Kindaruma Rd , Kilimani, Dagoretti North",3,3,98000
Coralinternational Ltd,"King'ara Road, Lavington, Dagoretti North",3,2,100000
Kenya Classic Homes,"Kilimani, Dagoretti North",2,2,100000
Kenya Classic Homes,"Lavington, Dagoretti North",3,1,100000
Kenya Classic Homes,"Kileleshwa, Dagoretti North",3,3,100000
Kenya Classic Homes,"Kileleshwa, Dagoretti North",3,3,100000
Mambo Properties Enterprise,"Riverside, Westlands",3,3,100000
Mambo Properties Enterprise,"Rose Avenue, Kilimani, Dagoretti North",3,3,100000
Green Knight Properties,"Yaya , Tigoni , Kilimani, Dagoretti North",1,1,100000
Green Knight Properties,"Tigoni, Tigoni, Kilimani, Dagoretti North",1,1,100000
Regent Management Ltd,"Gitanga/Amboseli Road, Lavington, Dagoretti North",5,4,100000
Azizi Realtors,"Kilimani, Dagoretti North",2,2,100000
Miamu Properties Limited,"2242, Dennis Pritt, Dagoretti North",3,3,100000
Paradigm Homes,"Valley Arcade, Dagoretti North",3,3,100000
Paradigm Homes,"Masanduku Lane, Lavington, Dagoretti North",3,3,100000
Royani Properties Limited,"Fahari Palace Apartments, Church Road, Westlands Area, Westlands",1,1,100000
Fit Property,"Raphta Road, Westlands, Nairobi, Rhapta Road, Westlands",4,3,100000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,100000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,3,100000
Wealthlink Realtors Ltd,"Rhapta Road, Westlands",3,3,100000
Apricotsolutions Limited,"Parklands, Westlands",4,3,100000
Apricotsolutions Limited,"Waiyaki Way, Westlands",3,2,100000
Landmark Top Solutions,"Near Valley Arcade, Lavington, Dagoretti North",3,3,100000
Landmark Top Solutions,"Lavington, Dagoretti North",3,3,100000
Good Living Properties Limited,"Waiyaki Way, Westlands",3,3,100000
Ws Properties Limited,"Rhapta Road, Westlands",2,2,100000
Lizmor Properties,"Westlands Area, Westlands",3,2,100000
Dunhill Consulting Limited,"Parklands, Westlands",3,2,100000
Casapiu Holdings Limited,"Rhapta Road, Westlands",3,3,100000
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North",3,3,100000
Furnished Rentals,"Karen, Langata",2,2,100000
Pmm Properties,"Oledume Road, Lavington, Dagoretti North",3,2,100000
Canaan Properties,"Milimani, Milimani",2,2,100000
J M Mccarthy Properties Ltd,"Lavington, Dagoretti North",3,3,100000
Coralinternational Ltd,"Masari Road, Parklands, Westlands",3,3,100000
Coralinternational Ltd,"Parklands, Westlands",3,2,100000
Canaan Properties,"Riara Road, Dagoretti North",4,3,100000
Gimco Limited,"Kilimani, Dagoretti North",4,3,100000
Habitat Realtors International Ltd,"Kolobot Gardens, Kolobot Close, Milimani, Milimani",3,2,100000
Green Knight Properties,"Dennis Pritt, Kilimani, Dagoretti North",1,1,100000
Regent Management Ltd,"Lavington, Dagoretti North",3,2,100000
Pam Golding Properties,"Westlands Area, Westlands",4,3,100000
Pam Golding Properties,"Westlands Area, Westlands",3,2,100000
Pam Golding Properties,"Kileleshwa, Dagoretti North",2,1,100000
Pam Golding Properties,"Westlands Area, Westlands",2,1,100000
Azizi Realtors,"Lavington, Dagoretti North",4,4,100000
Prudential Green Ville,"04, kilimani, Kilimani, Dagoretti North",3,3,100000
Prudential Green Ville,"riverside, Riverside, Riverside, Westlands",3,2,100000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,100000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",4,4,100000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",3,3,100000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,3,100000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,3,100000
Sema Estate Agents,"Westlands Area, Westlands",3,1,100000
Royal Properties Market Limited,"Runda, Westlands",2,2,100000
Absolute Estate Agents,"Mbaazi road, Mbaazi Road, Lavington, Dagoretti North",3,2,100000
Vaal Real Estate,"Mandera Road, Kileleshwa, Dagoretti North",2,2,100000
Cobalt Consulting,"Suswa Road, Parklands, Westlands",3,2,100000
Yellow Market,"near Kasuku Center, Kileleshwa, Dagoretti North",2,2,100000
Hilltrust Consult,"Westlands Area, Westlands",3,3,100000
Hilltrust Consult,"Westlands Area, Westlands",2,2,100000
Henley Green Realty,"Waiyaki Way, Westlands",2,2,100000
Origin Homes,"Denis Pritt Road, Kilimani, Dagoretti North",1,1,100000
Buy Rent Shelters,"Brookside , Westlands Area, Westlands",2,2,100000
Sky Limits Ventures,"Kilimani, Dagoretti North",3,2,100000
Sky Limits Ventures,"Kilimani, Dagoretti North",3,2,100000
Apricotsolutions Limited,"Rhapta Road, Rhapta Road, Westlands",3,3,100000
Splendour Real Estate,"Riverside, Westlands",3,2,100000
Ws Properties Limited,"Rhapta Road, Westlands Area, Westlands",1,1,100000
The Houswitch Haven Ltd,"Oldonyo Sabuk, General Mathenge, Westlands",2,1,100000
Taji Suburbs Ltd,"Riverside, Westlands",4,4,100000
Cfs Homes,"Brookside, Westlands",3,1,100000
Cfs Homes,"Westlands Area, Westlands",2,2,100000
Cfs Homes,"Kileleshwa, Dagoretti North",2,2,100000
Casapiu Holdings Limited,"Brookside, Westlands",3,3,100000
Casapiu Holdings Limited,"Kileleshwa, Dagoretti North",3,3,100000
Allione Real Estate,"Brookside, Westlands",3,3,100000
Afrique Properties Limited,"Shanzu, Kisauni",3,3,100000
Lighthouse Homes Limited,"Parklands, Westlands",4,4,100000
Splendor Holdings,"Westlands Area, Westlands",2,1,100000
Chawan Business Venture,"Thika Road, Thika Road",2,2,100000
Coralinternational Ltd,"Kolobot Drive, Kilimani, Dagoretti North",3,2,100000
Swiveltrend Ltd,"Kilimani, Dagoretti North",3,3,100000
Green Knight Properties,"Mbaazi, Lavington, Dagoretti North",1,1,100000
Green Knight Properties,"Kindaruma , Kilimani, Dagoretti North",2,2,100000
Green Knight Properties,"Mbaazi, Lavington, Dagoretti North",1,1,100000
Mambo Properties Enterprise,"Dennis Pritt, Kilimani, Dagoretti North",3,3,100000
Mambo Properties Enterprise,"Laikipia Rd, Kileleshwa, Dagoretti North",2,2,100000
Eastwood Consulting Ltd,"General Mathenge, General Mathenge, Westlands",3,3,100000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,3,100000
City Homes Kenya Real Estate,"mvuli road, Rhapta Road, Westlands",3,3,100000
City Homes Kenya Real Estate,"Brookside groove, Brookside, Westlands",2,2,100000
Tysons Limited,"Kilimani, Dagoretti North",3,2,100000
Pam Golding Properties,"Parklands, Westlands",3,2,100000
Origin Homes,"Thigiri, Westlands",1,1,100000
Origin Homes,"Kilimani, Dagoretti North",1,1,100000
Sir Francis Marketingconsultants Ltd,"Valley Arcade, Lavington, Dagoretti North",3,3,100000
Buy Rent Shelters,"General Mathenge, General Mathenge, Westlands",3,3,100000
Yellow Market,"Off Othaya Road, Kileleshwa, Dagoretti North",3,3,100000
Cloud Real Estate,"General Mathenge, Westlands",3,2,100000
Dmus Realtors,"Siaya Road, Kileleshwa, Dagoretti North",3,3,100000
Rejima Homes Ltd,"Westlands Area, Westlands",2,2,100000
Rejima Homes Ltd,"Nyari, Westlands",1,1,100000
Rescom Ventures Ltd,"Kileleshwa, Dagoretti North",1,1,100000
Dunhill Consulting Limited,"Kileleshwa, Dagoretti North",2,1,100000
Naftal Properties,"Kileleshwa, Dagoretti North",2,2,100000
Gerryville Homes,"Kilimani, Dagoretti North",3,3,100000
Afrique Properties Limited,"Nyari, Westlands",1,1,100000
Keensell Ventures,"Kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",2,2,100000
Lighthouse Homes Limited,"Kileleshwa, Dagoretti North",3,3,100000
Pmm Properties,"Riara road, Riara Road, Dagoretti North",4,4,100000
Azizi Realtors,"Lavington, Dagoretti North",3,2,100000
Ace Realtors Limited,"21 03 25, 33 RA, Lavington, Dagoretti North",4,4,100000
J M Mccarthy Properties Ltd,"Parklands, Westlands",3,3,100000
Archstone Realtors,"Nyari, Westlands",1,1,100000
Dmus Realtors,"Lenana road, Kilimani, Dagoretti North",3,3,100000
Apogee Realty Homes,"Wuyi Plaza Galana Road, Kilimani, Dagoretti North",3,2,102000
Absolute Estate Agents,"Lenana rd,kilimani, Kilimani, Dagoretti North",1,1,105000
Capstone Properties,"Kileleshwa, Dagoretti North",2,2,105000
Dunhill Consulting Limited,"Sports Road, Rhapta Road, Westlands",1,1,105000
Coralinternational Ltd,"Brookside, Westlands",2,2,110000
Opus Properties,"Kilimani, Dagoretti North",3,2,110000
Canaan Properties,"Rhapta Road, Westlands",3,3,110000
Pam Golding Properties,"Kilimani, Dagoretti North",3,3,110000
Kenya Classic Homes,"Riverside, Riverside, Riverside, Westlands",1,1,110000
Citiscape Valuers And Estate Agents Ltd,"Kilimani, Dagoretti North",3,2,110000
Mambo Properties Enterprise,"Kindaruma rd, Kilimani, Dagoretti North",1,1,110000
Green Knight Properties,"Dennis Sprit, Kilimani, Dagoretti North",3,3,110000
Azizi Realtors,"KANDARA ROAD, Kileleshwa, Dagoretti North",3,3,110000
Azizi Realtors,"Rhapta road, Rhapta Road, Westlands",3,3,110000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",3,2,110000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,3,110000
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",3,3,110000
Sunland Real Estates Limited,"KILIMANI, WOOD AVENUE, Kilimani, Dagoretti North",3,3,110000
Cura International Limited,"Muthaiga Area, Muthaiga",3,2,110000
Wealthlink Realtors Ltd,"Kahawa West, Roysambu",4,3,110000
Falcon Sight Properties,"General Mathenge, Westlands",2,2,110000
Trisums Investments Company Limited,"Parklands, Westlands",3,3,110000
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands",3,3,110000
Kenya Classic Homes,"Lavington, Dagoretti North",3,3,110000
Azizi Realtors,"Riverside Drive, Riverside, Westlands",3,3,110000
Canaan Properties,"Kilimani, Dagoretti North",3,3,110000
Canaan Properties,"Westlands Area, Westlands",4,3,110000
Green Knight Properties,"Denis sprit , Kitale Lane , Kilimani, Dagoretti North",1,1,110000
Green Knight Properties,"westlands Avenue , Westlands Area, Westlands",3,3,110000
Green Knight Properties,"Mbaazi, Lavington, Dagoretti North",2,2,110000
Simkar Group Limited,"Westlands, Westlands Area, Westlands",1,1,110000
Simkar Group Limited,"Riara Road, Riara Road, Dagoretti North",3,3,110000
Eastwood Consulting Ltd,"Siaya Road, Kileleshwa, Dagoretti North",2,2,110000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,3,110000
Prudential Green Ville,"riverside, Riverside, Riverside, Westlands",4,3,110000
Prudential Green Ville,"riverside, Riverside, Riverside, Westlands",3,3,110000
Realty Plus,"Lavington, Dagoretti North",1,1,110000
Ring Kenya Ltd,"Westlands Area, Westlands",1,1,110000
Ring Kenya Ltd,"Ngong Road, Ngong Road",6,6,110000
City Homes Kenya Real Estate,"Acacia Drive Off Ruaka Road, Runda, Westlands",3,1,110000
Rayalink Properties,"marist lane, Karen, Langata",3,3,110000
Absolute Estate Agents,"Ring Road Kilimani, Kilimani, Dagoretti North",3,3,110000
Paradigm Homes,"Riara Road, Kilimani, Dagoretti North",4,3,110000
Yellow Market,"Walk To Yaya, Kilimani, Dagoretti North",3,3,110000
Symonns Realty,"Muthangari Drive, Waiyaki Way, Westlands",2,2,110000
Capstone Properties,"Rhapta Road, Westlands",1,1,110000
Blueline Properties 1023,"9 Riverside Garden Close, Riverside Garden Close, Riverside, Westlands",3,3,110000
Royani Properties Limited,"Suguta Road, Kileleshwa, Dagoretti North",3,3,110000
Wealthlink Realtors Ltd,"Riverside, Westlands",3,3,110000
Buy Rent Shelters,"General Mathenge, General Mathenge, Westlands",2,2,110000
Landmark Top Solutions,"Lavington, Dagoretti North",3,3,110000
Landmark Top Solutions,"Riverside, Westlands",3,3,110000
Landmark Top Solutions,"Westlands Area, Westlands",3,3,110000
Falcon Sight Properties,"Parklands, Westlands",3,2,110000
Ws Properties Limited,"Brookside, Westlands Area, Westlands",3,3,110000
Afrique Properties Limited,"Kilimani, Dagoretti North",3,2,110000
Splendor Holdings,"Lavington, Dagoretti North",4,2,110000
Green Knight Properties,"Chaka Road , Kilimani, Dagoretti North",3,3,110000
Kenya Classic Homes,"Kilimani, Dagoretti North",2,2,110000
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",4,3,110000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,3,110000
Sunland Real Estates Limited,"Hurlingham Kilimani, Kilimani, Dagoretti North",3,3,110000
El Roi Properties,"Brookside, Westlands",4,3,110000
Tysons Limited,"Kilimani, Dagoretti North",3,2,110000
Pam Golding Properties,"Westlands Area, Westlands",1,1,110000
Pam Golding Properties,"Riverside, Westlands",3,2,110000
Azizi Realtors,"Lavington, Dagoretti North",3,2,110000
Royal Properties Market Limited,"Westlands Area, Westlands",1,1,110000
Origin Homes,"Kileleshwa, Dagoretti North",3,3,110000
Origin Homes,"Kilimani, Dagoretti North",2,2,110000
Absolute Estate Agents,"Kirichwa road, Kilimani, Dagoretti North",3,3,110000
Buy Rent Shelters,"Parklands, Parklands, Westlands",4,4,110000
Yellow Market,"Near Sarit Center, Brookside, Westlands",3,2,110000
Yellow Market,"N/a, Near Yaya Centre, Kilimani, Dagoretti North",1,1,110000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",1,1,110000
Ws Properties Limited,"Rhapta Road, Westlands Area, Westlands",2,2,110000
Ws Properties Limited,"Rhapta Road, Westlands Area, Westlands",2,2,110000
Vsb Properties Limited,"School Lane, Westlands Area, Westlands",1,1,110000
Casapiu Holdings Limited,"Rhapta Road, Westlands",3,2,110000
Casapiu Holdings Limited,"Lavington, Dagoretti North",3,2,110000
Urban Hut,"Kilimani, Dagoretti North",2,2,110000
Afrique Properties Limited,"Kileleshwa, Dagoretti North",3,3,112000
Ws Properties Limited,"2Nd Parklands, Parklands, Westlands",3,3,112500
Coralinternational Ltd,"Sports Road, Palm Flats, Westlands Area, Westlands",3,3,115000
Simkar Group Limited,"Riara Road, Riara Road, Dagoretti North",3,3,115000
Dayfield Agencies,"Parklands, Westlands",3,2,115000
Buy Rent Shelters,"Westlands, Rhapta Road, Westlands",3,3,115000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,2,115000
Pmc Estates Limited,"Waiyaki Way, Westlands",2,1,115000
Dunhill Consulting Limited,"Parklands, Westlands",4,2,115000
Trisums Investments Company Limited,"Kilimani, Dagoretti North",3,2,115000
Canaan Properties,"Riverside, Westlands",3,1,115000
Franic Villa Properties,"Marcus, Kilimani, Kilimani, Dagoretti North",1,1,115000
Geoscape Global Limited,"Westlands Area, Westlands",3,3,115000
Royal Properties Market Limited,"Kilimani, Dagoretti North",3,3,115000
Rayalink Properties,"Elgoyo marakwet road, Kilimani, Dagoretti North",3,2,115000
Origin Homes,"Kilimani, Dagoretti North",2,2,115000
Buy Rent Shelters,"Rhapta Rd, Westlands Area, Westlands",3,3,115000
Buy Rent Shelters,"Rhapta Rd , Westlands Area, Westlands",3,3,115000
Buy Rent Shelters,"Westlands Area, Westlands",3,3,115000
Naftal Properties,"Kileleshwa, Dagoretti North",3,3,115000
Westside Real Estate,"Kilimani, Dagoretti North",3,3,115000
Capstone Properties,"Kilimani, Dagoretti North",3,3,115000
Origin Homes,"Lavington, Dagoretti North",4,4,115000
Buy Rent Shelters,"Rhapta Rd , Rhapta Road, Westlands",3,3,115000
Buy Rent Shelters,"Sandalwood, Riverside, Westlands",3,3,115000
Buy Rent Shelters,"Rhapta Rd, Rhapta Road, Westlands",3,3,115000
Fit Property,"Laikipia Road, Kileleshwa, Dagoretti North",1,1,115000
Westside Real Estate,"Muringa Rd, Kilimani, Dagoretti North",3,3,115000
Realty Plus,"Lavington, Dagoretti North",3,3,118000
