Agency,location,bedrooms,bathrooms,price
El Roi Properties,"Kiambu Road, Kiambu Road",1,1,35000
Avic International,"Laikipia Road, Kileleshwa, Dagoretti North",2,2,130000
Malazo Realtors,"Migaa, Kiambu Road, Kiambu Road",1,1,35000
Pmc Estates Limited,"Imara Daima, Embakasi",2,2,35000
Pmm Properties,"Beijing Road, Off Mombasa Road, Syokimau, Athi River",3,2,35000
Civic Capital,"Imara Daima, Embakasi",2,2,35000
Visions Place,"Lower Kabete, Westlands",2,2,35000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",2,2,35000
Regent Management Ltd,"Kahawa Sukari, Roysambu",2,2,35000
Habitat Realtors International Ltd,"Langata Area, Langata",2,1,35000
Prince Classic Homes,"Imara Daima, Embakasi",2,2,35000
Ever Forgarden ,"Denis Pritt, Kilimani, Dagoretti North",1,1,35000
Cyham Properties,"BEIJING ROAD, Syokimau, Athi River",3,2,35000
Pmm Properties,"Nyayo Estate, Baraka/Nyayo, Embakasi",3,2,35000
Casapiu Holdings Limited,"Syokimau, Athi River",3,3,35000
Buy Rent Shelters,"Dennis Pritt, Lavington, Dagoretti North",3,3,90000
Green Knight Properties,"Lenana road, Kilimani, Dagoretti North",3,3,100000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",2,1,35000
Real Management Services 2002Limited,"1, Chambers, Ngara, Starehe",2,2,35000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",1,1,35000
Mazz Prestines,"Garden Estate, Roysambu",2,2,35000
Civic Capital,"Syokimau, Athi River",3,2,35000
Habitat Realtors International Ltd,"Tatu City, Unity West, Ruiru, Ruiru",2,2,35750
Buy Rent Shelters,"Gacharage, Ruaka, Kiambaa",2,2,37000
Apogee Realty Homes,"Hellen Drive, Ruaka, Kiambaa",2,2,38000
Axis Assets Limited,"Ruaka, Kiambaa",2,2,38000
Tussy Realtors,"Thiong'o, Mountain View, Westlands",2,2,38000
Royani Properties Limited,"Next To Uthiru Genesis Boarding School, Kinoo, Kabete",3,2,38000
Habitat Realtors International Ltd,"Ruaka Joyland, Limuru Road, Ruaka, Kiambaa",2,2,38000
Azizi Realtors,"Ruaka, Kiambaa",3,2,38000
Real Management Services 2002Limited,"Riverside Drive, Riverside, Westlands",2,1,38000
Serene Valley Apartments,"Kiambere Road, Upper Hill, Langata",3,2,240000
Citiscape Valuers And Estate Agents Ltd,"kikambala road, Kileleshwa, Dagoretti North",3,3,85000
Homeowners Eye,"Masaba Road, Upper Hill, Langata",1,1,38000
Axis Assets Limited,"Ruaka, Kiambaa",2,2,38000
Civic Capital,"Mbagathi way, Ngumo Estate, Langata",2,1,39000
Swiveltrend Ltd,"Limuru road, Ruaka, Kiambaa",2,2,40000
Expo Properties,"Maloi Apartments, Masai Lodge Road, Ongata Rongai, Kajiado North",3,2,40000
Yellow Market,"Naivasha Road, Naivasha Road, Dagoretti North",1,1,40000
Buy Rent Shelters,"Gacharage, Ruaka, Kiambaa",2,2,40000
Wealthlink Realtors Ltd,"Ngara, Starehe",2,2,40000
Civic Capital,"Ole Sangale, Madaraka, Langata",3,1,40000
Phillavilla,"Naivasha Road, Dagoretti North",2,2,40000
Swiveltrend Ltd,"kiambu road, Thindigua, Thindigua",2,2,40000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",1,1,40000
Apricotsolutions Limited,"Parklands, Westlands",3,1,40000
Naftal Properties,"Naivasha Road, Dagoretti North",2,2,40000
Rescom Ventures Ltd,"Kamiti, Kiambaa",2,2,40000
Mazz Prestines,"Thika Road, Thika Road",2,2,40000
Civic Capital,"Madaraka, Langata",2,1,40000
Kingslink Ventures,"Precious Gardens Estate, Riruta, Dagoretti South",3,3,40000
Axis Assets Limited,"Ruaka, Kiambaa",2,2,40000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",2,2,40000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",2,2,40000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",3,2,40000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",3,2,40000
Landmark Realtors Ltd,"Makadara, Makadara",2,1,40000
Abec Real Estate,"Naivasha Road, Naivasha Road, Dagoretti North",2,2,40000
Homekenya24,"Ruaka, Kiambaa",2,2,40000
Acurate Homes Limited,"Mbaazi Avenue, Lavington, Dagoretti North",1,1,40000
Havilaplus Estates Ltd,"Karen-Dagoretti Road, Karen, Langata",2,2,40000
Unique Casles Management Ltd,"Koma Rock, Kangundo",3,2,40000
Axis Assets Limited,"Ruaka, Kiambaa",2,2,40000
Property Matrix,"Mombasa Rd, Syokimau, Athi River",3,2,40000
Axis Assets Limited,"Ruaka, Kiambaa",3,2,42000
Habitat Realtors International Ltd,"Riara Heights, Naivasha Road, Dagoretti Corner, Dagoretti South",2,1,42500
Mazz Prestines,"Garden Estate Rd, Garden Estate, Roysambu",2,2,43000
Havilaplus Estates Ltd,"USIU, SAFARI PARK AREA, Safari Park, Thika Road, Thika Road, Thika Road",2,2,43000
Axis Assets Limited,"Ruaka, Ruaka, Ruaka, Kiambaa",2,2,43000
