,location,bedrooms,bathrooms,price
718,559,3,2,85000
719,73,3,2,85000
720,458,2,2,85000
721,446,4,4,85000
722,540,3,3,85000
723,218,3,2,85000
724,524,3,3,85000
725,101,3,1,85000
726,523,3,2,85000
727,214,1,1,85000
728,83,3,3,85000
729,399,3,3,85000
730,39,3,3,85000
731,330,3,3,85000
732,218,3,3,85000
733,165,3,3,85000
734,567,2,2,85000
735,584,3,2,85000
736,97,1,1,85000
737,218,2,2,85000
738,253,2,2,85000
739,218,2,2,85000
740,400,2,2,85000
741,317,4,4,85000
742,117,1,1,85000
743,558,3,2,85000
744,9,3,2,85000
745,290,3,2,85000
746,360,2,2,85000
747,590,2,2,85000
748,259,3,3,85000
749,218,3,3,85000
750,124,2,2,85000
751,227,2,2,85000
752,589,3,3,85000
753,436,3,3,85000
754,214,3,2,86000
755,214,3,3,86000
756,413,3,3,87000
757,540,2,2,87000
758,295,3,3,88000
759,540,3,1,89000
760,485,2,1,89996
761,239,1,1,90000
762,502,1,1,90000
763,230,1,1,90000
764,26,3,3,90000
765,27,3,3,90000
766,218,3,2,90000
767,218,3,2,90000
769,332,2,2,90000
770,44,3,3,90000
771,218,2,2,90000
772,253,3,2,90000
773,242,2,2,90000
774,253,3,2,90000
775,218,3,2,90000
776,83,2,2,90000
777,570,3,3,90000
778,570,2,2,90000
779,571,2,2,90000
780,438,3,3,90000
781,80,2,2,90000
782,354,2,2,90000
783,214,3,1,90000
784,413,3,3,90000
785,534,2,2,90000
786,208,2,2,90000
787,250,4,4,90000
788,511,1,1,90000
789,534,2,2,90000
790,540,3,3,90000
791,99,3,2,90000
792,294,3,2,90000
793,218,2,2,90000
794,393,3,2,90000
795,467,3,2,90000
796,218,3,3,90000
797,471,3,2,90000
798,467,3,3,90000
800,253,3,3,90000
801,541,3,2,90000
802,442,2,2,90000
803,25,3,3,90000
804,214,1,1,90000
805,253,2,2,90000
806,307,3,3,90000
807,570,3,2,90000
808,580,3,2,90000
809,52,2,2,90000
810,131,1,1,90000
811,183,3,3,90000
812,218,3,3,90000
813,253,3,2,90000
814,254,2,2,90000
815,118,3,3,90000
816,68,3,3,90000
817,218,3,2,90000
818,526,3,3,90000
819,214,3,3,90000
820,218,3,3,90000
821,368,3,3,90000
822,218,3,2,90000
824,571,3,2,90000
825,436,2,2,90000
826,368,3,3,90000
827,458,1,1,90000
828,98,1,1,90000
829,467,1,1,90000
830,540,3,2,90000
831,218,2,2,90000
832,540,3,3,90000
833,253,3,3,90000
834,159,3,1,90000
835,12,3,3,90000
836,215,3,3,90000
837,214,3,3,90000
838,63,2,2,90000
839,284,2,2,90000
840,549,2,2,90000
842,214,2,1,90000
843,109,3,3,90000
844,112,3,3,90000
845,108,3,3,90000
847,95,3,2,90000
848,540,1,1,90000
849,253,4,4,90000
850,218,2,2,90000
851,253,1,1,90000
852,458,1,1,90000
853,498,2,2,90000
854,75,3,3,90000
855,447,3,3,90000
856,436,3,3,90000
857,445,3,3,90000
858,445,4,4,90000
859,214,3,3,90000
860,453,4,4,90000
861,214,2,2,90000
862,36,3,3,95000
863,540,2,2,95000
864,218,3,3,95000
865,458,1,1,95000
866,90,2,2,95000
867,218,4,4,95000
868,436,2,1,95000
869,218,2,1,95000
870,253,3,3,95000
871,530,3,2,95000
872,570,3,2,95000
873,570,3,3,95000
874,571,3,3,95000
875,425,2,2,95000
876,214,2,2,95000
877,540,2,2,95000
878,385,3,2,95000
879,284,2,2,95000
880,535,2,2,95000
881,447,2,2,95000
882,433,1,1,95000
884,324,3,3,95000
885,218,3,2,95000
887,571,3,2,95000
888,275,1,1,95000
889,502,3,3,95000
890,540,1,1,95000
891,214,3,3,95000
892,94,3,2,95000
893,296,2,2,95000
894,447,2,2,95000
895,534,3,2,95000
896,253,3,3,95000
897,502,3,3,95000
898,214,3,3,95000
899,30,1,1,95000
900,32,2,2,95000
901,534,4,3,95000
902,218,3,3,95000
905,218,4,3,95000
906,443,3,3,95000
907,530,3,3,95000
908,214,3,3,95000
909,276,2,2,95000
910,253,3,3,95000
911,286,4,2,96000
912,91,3,3,98000
913,210,3,3,98000
914,381,4,4,98000
915,218,3,3,98000
916,222,3,3,98000
917,228,3,2,100000
918,218,2,2,100000
919,253,3,1,100000
920,214,3,3,100000
922,467,3,3,100000
923,468,3,3,100000
924,551,1,1,100000
925,522,1,1,100000
926,162,5,4,100000
927,218,2,2,100000
928,40,3,3,100000
929,530,3,3,100000
930,290,3,3,100000
931,121,1,1,100000
932,428,4,3,100000
933,570,3,2,100000
934,570,3,3,100000
935,436,3,3,100000
936,413,4,3,100000
937,534,3,2,100000
938,358,3,3,100000
939,253,3,3,100000
940,534,3,3,100000
941,436,2,2,100000
942,540,3,2,100000
943,413,3,2,100000
944,436,3,3,100000
945,445,3,3,100000
946,195,2,2,100000
947,398,3,2,100000
948,307,2,2,100000
949,253,3,3,100000
950,291,3,3,100000
951,413,3,2,100000
952,447,4,3,100000
953,218,4,3,100000
954,240,3,2,100000
955,109,1,1,100000
956,253,3,2,100000
957,540,4,3,100000
958,540,3,2,100000
959,214,2,1,100000
960,540,2,1,100000
961,253,4,4,100000
962,2,3,3,100000
963,597,3,2,100000
965,570,4,4,100000
966,579,3,3,100000
968,571,3,3,100000
969,540,3,1,100000
970,475,2,2,100000
971,297,3,2,100000
972,284,2,2,100000
973,505,3,2,100000
974,586,2,2,100000
975,540,3,3,100000
976,540,2,2,100000
977,534,2,2,100000
978,100,1,1,100000
979,72,2,2,100000
980,218,3,2,100000
982,435,3,3,100000
983,467,3,2,100000
984,437,1,1,100000
985,391,2,1,100000
986,467,4,4,100000
987,83,3,1,100000
988,540,2,2,100000
989,214,2,2,100000
990,83,3,3,100000
991,214,3,3,100000
992,83,3,3,100000
993,489,3,3,100000
994,413,4,4,100000
995,540,2,1,100000
996,513,2,2,100000
997,239,3,2,100000
998,218,3,3,100000
999,298,1,1,100000
1000,221,2,2,100000
1002,109,3,3,100000
1003,244,2,2,100000
1004,148,3,3,100000
1006,584,3,3,100000
1007,80,2,2,100000
1008,218,3,2,100000
1009,413,3,2,100000
1010,511,1,1,100000
1011,218,1,1,100000
1012,531,3,3,100000
1013,148,3,3,100000
1014,380,3,3,100000
1015,150,3,2,100000
1016,491,3,3,100000
1017,540,2,2,100000
1018,372,1,1,100000
1019,214,1,1,100000
1020,214,2,1,100000
1021,214,2,2,100000
1022,218,3,3,100000
1023,372,1,1,100000
1024,216,2,2,100000
1025,214,3,3,100000
1026,453,4,4,100000
1027,253,3,2,100000
1028,22,4,4,100000
1029,413,3,3,100000
1030,372,1,1,100000
1031,263,3,3,100000
1032,550,3,2,102000
1033,262,1,1,105000
1034,214,2,2,105000
1035,495,1,1,105000
1036,83,2,2,110000
1037,218,3,2,110000
1038,436,3,3,110000
1039,218,3,3,110000
1040,465,1,1,110000
1041,218,3,2,110000
1042,224,1,1,110000
1043,111,3,3,110000
1044,178,3,3,110000
1045,438,3,3,110000
1046,579,3,2,110000
1047,570,3,3,110000
1048,567,3,3,110000
1049,182,3,3,110000
1050,330,3,2,110000
1051,186,4,3,110000
1052,150,2,2,110000
1053,413,3,3,110000
1054,458,3,3,110000
1055,253,3,3,110000
1056,458,3,3,110000
1057,218,3,3,110000
1058,540,4,3,110000
1059,103,1,1,110000
1060,606,3,3,110000
1061,298,2,2,110000
1062,545,1,1,110000
1063,451,3,3,110000
1064,491,2,2,110000
1066,597,4,3,110000
1067,597,3,3,110000
1068,253,1,1,110000
1069,540,1,1,110000
1070,368,6,6,110000
1071,54,3,1,110000
1072,582,3,3,110000
1073,455,3,3,110000
1074,448,4,3,110000
1075,537,3,3,110000
1076,331,2,2,110000
1077,436,1,1,110000
1078,51,3,3,110000
1079,502,3,3,110000
1080,467,3,3,110000
1081,148,2,2,110000
1082,253,3,3,110000
1083,467,3,3,110000
1084,540,3,3,110000
1085,413,3,2,110000
1086,84,3,3,110000
1087,218,3,2,110000
1088,253,4,2,110000
1089,85,3,3,110000
1090,218,2,2,110000
1091,567,4,3,110000
1092,571,3,3,110000
1093,171,3,3,110000
1094,83,4,3,110000
1095,218,3,2,110000
1096,540,1,1,110000
1097,467,3,2,110000
1098,253,3,2,110000
1099,540,1,1,110000
1100,214,3,3,110000
1101,218,2,2,110000
1102,231,3,3,110000
1103,412,4,4,110000
1104,355,3,2,110000
1105,342,1,1,110000
1106,540,1,1,110000
1107,437,2,2,110000
1109,484,1,1,110000
1110,436,3,2,110000
1111,253,3,2,110000
1112,218,2,2,110000
1113,214,3,3,112000
1114,41,3,3,112500
1115,494,3,3,115000
1116,451,3,3,115000
1117,413,3,2,115000
1118,544,3,3,115000
1119,540,3,2,115000
1120,534,2,1,115000
1121,413,4,2,115000
1122,218,3,2,115000
1123,467,3,1,115000
1124,288,1,1,115000
1125,540,3,3,115000
1126,218,3,3,115000
1127,119,3,2,115000
1128,218,2,2,115000
1129,434,3,3,115000
1130,432,3,3,115000
1131,540,3,3,115000
1132,214,3,3,115000
1133,218,3,3,115000
1134,218,3,3,115000
1135,253,4,4,115000
1136,431,3,3,115000
1137,480,3,3,115000
1138,433,3,3,115000
1139,246,1,1,115000
1140,325,3,3,115000
1141,253,3,3,118000
1142,387,3,2,120000
1143,116,3,2,120000
1144,255,2,2,120000
1145,435,3,3,120000
1146,447,3,3,120000
1147,253,3,2,120000
1148,116,4,4,120000
1149,172,1,1,120000
1150,219,3,2,120000
1151,89,4,3,120000
1152,150,3,3,120000
1153,503,2,2,120000
1154,253,3,3,120000
1155,467,3,3,120000
1156,457,3,1,120000
1157,451,2,1,120000
1158,467,3,3,120000
1159,150,4,4,120000
1160,388,4,3,120000
1161,218,3,3,120000
1162,214,3,3,120000
1163,540,3,3,120000
1164,437,3,3,120000
1165,435,3,3,120000
1166,534,3,3,120000
1167,484,3,3,120000
1168,109,3,3,120000
1169,214,2,2,120000
1170,83,4,2,120000
1171,540,1,1,120000
1172,467,3,3,120000
1173,253,3,3,120000
1174,33,3,3,120000
1175,506,3,3,120000
1176,218,3,3,120000
1177,109,1,1,120000
1178,410,1,1,120000
1179,299,3,3,120000
1180,89,4,2,120000
1181,89,3,2,120000
1182,218,2,2,120000
1183,540,3,2,120000
1184,467,3,2,120000
1185,303,3,3,120000
1186,214,3,3,120000
1187,413,4,4,120000
1188,218,4,3,120000
1189,607,1,1,120000
1190,411,3,2,120000
1191,253,3,3,120000
1192,467,2,2,120000
