,title,location,bedrooms,bathrooms,price,rate
471,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
472,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
473,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
474,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
475,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
476,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
477,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
478,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
479,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
480,FlattorentinNyali,Nyali,3,2,45000,PerMonth
481,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
482,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
483,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
484,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
485,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
486,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
487,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
